user_id,gender,age,occupation_id,cp,occupation
220,M,25,12,22903,programmer
221,F,25,0,94063,other or not specified
222,M,25,1,55116,academic/educator
223,M,25,17,28262,technician/engineer
224,F,18,4,14850,college/grad student
225,M,25,7,11215,executive/managerial
226,M,35,1,94518,academic/educator
227,M,35,20,90291,writer
228,M,25,15,55455,scientist
229,M,18,10,04576,K-12 student
230,M,45,1,43210,academic/educator
231,M,25,3,55455,clerical/admin
232,M,25,20,55408,writer
233,F,45,20,37919-4204,writer
234,M,35,7,39652,executive/managerial
235,M,25,0,98153,other or not specified
236,M,25,5,55126,customer service
237,M,25,6,46835,doctor/health care
238,F,50,7,90291,executive/managerial
239,M,18,19,94618,unemployed
240,M,50,17,55113,technician/engineer
241,M,35,20,55121,writer
242,F,18,4,53706,college/grad student
243,M,25,16,11576,self-employed
244,M,50,7,19072,executive/managerial
245,M,35,16,66046,self-employed
246,F,18,4,60625,college/grad student
247,M,25,17,94404,technician/engineer
248,M,18,17,72703,technician/engineer
249,F,18,14,48126,sales/marketing
250,M,35,16,11229,self-employed
251,M,56,17,55105,technician/engineer
252,M,25,12,94112,programmer
253,F,25,11,97370,lawyer
254,M,35,17,49015,technician/engineer
255,M,35,0,85310,other or not specified
256,M,45,16,55076,self-employed
257,M,18,18,55113,tradesman/craftsman
258,M,25,7,55436,executive/managerial
259,M,25,1,60615,academic/educator
260,M,18,19,98126,unemployed
261,M,25,20,75801,writer
262,F,25,1,68503,academic/educator
263,F,25,7,22304,executive/managerial
264,M,35,0,20755,other or not specified
265,F,35,7,55116,executive/managerial
266,M,35,11,75229,lawyer
267,M,45,12,55001,programmer
268,F,18,12,29708,programmer
269,M,25,2,55408,artist
270,M,50,14,55414,sales/marketing
271,M,18,4,48202,college/grad student
272,M,18,0,80302,other or not specified
273,M,18,4,55427,college/grad student
274,M,18,4,55455,college/grad student
275,M,25,0,48162,other or not specified
276,M,45,16,01982,self-employed
277,F,35,1,98126,academic/educator
278,M,45,18,60482,tradesman/craftsman
279,M,25,14,91214,sales/marketing
280,M,50,7,19118,executive/managerial
281,F,35,0,94117,other or not specified
282,M,25,17,94401,technician/engineer
283,M,25,0,10003,other or not specified
284,M,25,12,91910,programmer
285,F,35,0,94109,other or not specified
286,M,25,1,54601,academic/educator
287,M,50,13,94706,retired
288,F,25,12,97119,programmer
289,F,25,0,11801,other or not specified
290,F,25,20,94591,writer
291,M,35,12,55110,programmer
292,M,35,7,19406,executive/managerial
293,M,56,1,55337-4056,academic/educator
294,F,45,9,43147,homemaker
295,M,18,0,80203,other or not specified
296,M,50,5,89432,customer service
297,M,18,2,97211,artist
298,F,18,4,19010,college/grad student
299,M,25,12,97370,programmer
300,M,25,7,78664,executive/managerial
301,M,18,4,61820,college/grad student
302,M,18,4,04901,college/grad student
303,M,25,7,20006,executive/managerial
304,M,25,0,55414,other or not specified
305,F,18,0,55414,other or not specified
306,M,18,0,53051,other or not specified
307,M,50,16,90027,self-employed
308,M,25,2,10025,artist
309,M,25,4,16801,college/grad student
310,F,18,4,31207,college/grad student
311,M,18,4,31201,college/grad student
312,F,50,2,22207,artist
313,F,18,4,02138,college/grad student
314,F,56,9,46911,homemaker
315,F,56,1,55105,academic/educator
316,M,56,13,90740,retired
317,M,35,7,38555,executive/managerial
318,F,56,13,55104,retired
319,F,50,6,33436,doctor/health care
320,M,35,6,99516,doctor/health care
321,M,18,4,55128,college/grad student
322,M,56,17,55117,technician/engineer
323,M,45,12,53716,programmer
324,M,35,17,55106,technician/engineer
325,F,50,3,55112,clerical/admin
326,M,50,11,25302,lawyer
327,M,35,18,55448,tradesman/craftsman
328,M,35,12,80401,programmer
329,M,35,7,02115,executive/managerial
330,M,56,7,92065,executive/managerial
331,M,25,7,55902,executive/managerial
332,M,50,1,55109,academic/educator
333,M,35,2,55410,artist
334,F,56,2,55113,artist
335,M,35,18,55434,tradesman/craftsman
336,M,18,0,98765,other or not specified
337,M,18,19,80205,unemployed
338,M,35,7,55116,executive/managerial
339,M,50,7,80207,executive/managerial
340,F,25,3,28001,clerical/admin
341,F,56,13,92119,retired
342,M,18,12,55076,programmer
343,F,35,3,55127,clerical/admin
344,M,35,14,75034,sales/marketing
345,M,25,12,94114,programmer
346,F,25,0,55110,other or not specified
347,F,56,1,55305,academic/educator
348,M,50,7,55110,executive/managerial
349,M,1,10,08035,K-12 student
350,M,45,20,08035,writer
351,M,18,4,55105,college/grad student
352,M,18,4,60115,college/grad student
353,F,35,7,92625,executive/managerial
354,M,35,1,55117,academic/educator
355,M,18,3,55107,clerical/admin
356,M,56,20,55101,writer
357,M,18,0,98103,other or not specified
358,F,56,1,20815,academic/educator
359,M,25,17,55128,technician/engineer
360,M,35,17,28208,technician/engineer
361,F,25,14,94115,sales/marketing
362,M,35,20,55407,writer
363,M,18,10,55419,K-12 student
364,F,35,1,46815,academic/educator
365,F,18,4,02138,college/grad student
366,M,50,15,55126,scientist
367,M,50,12,55421,programmer
368,M,25,0,90293,other or not specified
369,M,35,1,55110,academic/educator
370,M,18,17,22304,technician/engineer
371,M,18,4,02141,college/grad student
372,F,18,4,72227,college/grad student
373,F,25,2,55347,artist
374,F,35,14,55346,sales/marketing
375,M,25,2,55106,artist
376,M,35,1,80026,academic/educator
377,M,25,17,55418,technician/engineer
378,F,18,0,55105,other or not specified
379,F,35,1,54822,academic/educator
380,M,25,2,92024,artist
381,M,35,17,89015,technician/engineer
382,F,35,20,66205,writer
383,F,25,7,78757,executive/managerial
384,M,25,11,55075,lawyer
385,M,25,6,68131,doctor/health care
386,M,25,0,55408,other or not specified
387,F,35,7,55111,executive/managerial
388,F,25,0,10021,other or not specified
389,M,25,6,68128,doctor/health care
390,M,25,4,55405,college/grad student
391,M,45,11,22122,lawyer
392,M,18,7,20037,executive/managerial
393,M,35,17,55402,technician/engineer
394,M,18,0,55013,other or not specified
395,M,18,5,55104,customer service
396,M,25,1,56187,academic/educator
397,M,35,17,22124,technician/engineer
398,M,25,17,55454,technician/engineer
399,F,35,6,55128,doctor/health care
400,F,18,3,55422,clerical/admin
401,M,18,0,55129,other or not specified
402,M,25,11,55427,lawyer
403,M,18,4,02138,college/grad student
404,M,18,4,10128,college/grad student
405,M,56,1,13077,academic/educator
406,M,25,20,55105,writer
407,M,18,17,89503,technician/engineer
408,M,25,11,02143,lawyer
409,M,18,12,55122,programmer
410,F,25,1,55417,academic/educator
411,F,45,1,43214,academic/educator
412,M,35,15,55117,scientist
413,M,25,11,55409,lawyer
414,M,25,0,55317,other or not specified
415,F,35,0,55406,other or not specified
416,M,45,14,55076,sales/marketing
417,F,25,0,50613,other or not specified
418,F,25,3,54016,clerical/admin
419,M,18,3,55422,clerical/admin
420,M,35,1,55406,academic/educator
421,F,45,3,55125,clerical/admin
422,M,56,17,55104,technician/engineer
423,M,18,4,55455,college/grad student
424,M,25,17,55112,technician/engineer
425,M,25,12,55303,programmer
426,M,18,4,55455,college/grad student
427,M,35,12,55104,programmer
428,F,18,4,55455,college/grad student
429,M,18,0,54901,other or not specified
430,F,18,10,55306,K-12 student
431,M,18,10,55303,K-12 student
432,M,45,16,55306,self-employed
433,M,50,6,55115,doctor/health care
434,F,45,3,98155,clerical/admin
435,M,25,7,55125,executive/managerial
436,M,18,4,43023,college/grad student
437,M,35,17,55030,technician/engineer
438,M,18,11,53705,lawyer
439,M,35,14,55129,sales/marketing
440,M,56,1,32940,academic/educator
441,M,35,1,55127,academic/educator
442,M,25,1,55105,academic/educator
443,M,25,3,55421,clerical/admin
444,M,56,0,55108,other or not specified
445,M,45,12,55117,programmer
446,F,50,0,55042,other or not specified
447,F,45,11,55105,lawyer
448,M,25,17,80123,technician/engineer
449,M,25,7,85037,executive/managerial
450,M,45,1,24523,academic/educator
451,M,56,13,54720,retired
452,M,50,17,55117,technician/engineer
453,M,18,4,55102,college/grad student
454,M,25,20,55092,writer
455,F,35,2,55113,artist
456,M,35,0,55105,other or not specified
457,M,18,4,54703,college/grad student
458,M,50,16,55405-2546,self-employed
459,F,18,4,55105,college/grad student
460,M,45,18,55313,tradesman/craftsman
461,M,50,7,55075,executive/managerial
462,M,18,16,55416,self-employed
463,M,25,7,55105,executive/managerial
464,F,18,4,55455,college/grad student
465,M,18,19,94523,unemployed
466,M,25,5,55405,customer service
467,F,35,3,55075,clerical/admin
468,F,1,10,55082,K-12 student
469,M,35,6,55122,doctor/health care
470,F,1,10,55068,K-12 student
471,M,35,7,08904,executive/managerial
472,M,35,0,55418,other or not specified
473,F,18,4,55112,college/grad student
474,M,25,17,92126,technician/engineer
475,F,25,2,55421,artist
476,M,35,0,55127,other or not specified
477,M,35,14,55410,sales/marketing
478,M,50,16,55113,self-employed
479,M,25,12,55042,programmer
480,F,18,4,55422,college/grad student
481,M,45,7,55115,executive/managerial
482,M,25,14,55305,sales/marketing
483,M,18,12,55105,programmer
484,F,1,10,55104,K-12 student
485,M,56,7,55042,executive/managerial
486,M,56,0,91367,other or not specified
487,F,35,17,55082,technician/engineer
488,M,25,12,55107,programmer
489,M,18,4,55455,college/grad student
490,M,1,10,55345,K-12 student
491,M,18,4,56043,college/grad student
492,M,25,12,55112,programmer
493,M,50,7,55016,executive/managerial
494,F,35,0,17870,other or not specified
495,M,18,10,55421,K-12 student
496,M,18,4,55455,college/grad student
497,F,25,17,55412,technician/engineer
498,M,35,17,55113,technician/engineer
499,F,25,1,55108,academic/educator
500,F,18,2,55105,artist
501,M,25,2,55372,artist
502,M,35,6,55126,doctor/health care
503,M,35,11,73120,lawyer
504,M,25,2,17003,artist
505,M,35,17,37815,technician/engineer
506,M,25,16,55103-1006,self-employed
507,F,25,0,55405,other or not specified
508,M,25,12,55418,programmer
509,M,25,2,55125,artist
510,M,18,12,55109,programmer
511,F,45,4,15232,college/grad student
512,M,35,0,55379,other or not specified
513,M,25,0,55119,other or not specified
514,M,25,2,55113,artist
515,M,25,1,55406,academic/educator
516,F,56,14,55033,sales/marketing
517,F,25,14,55408,sales/marketing
518,F,35,12,75240,programmer
519,F,35,14,55038,sales/marketing
520,F,35,20,55104,writer
521,M,56,7,55105,executive/managerial
522,M,25,12,55124,programmer
523,M,50,7,55105,executive/managerial
524,M,18,0,91320,other or not specified
525,M,35,6,19027,doctor/health care
526,M,45,17,94806,technician/engineer
527,F,25,2,11201,artist
528,F,18,17,83843,technician/engineer
529,M,35,12,92009,programmer
530,M,25,2,10019,artist
531,F,18,14,22206,sales/marketing
532,M,25,7,94301,executive/managerial
533,M,25,12,27514,programmer
534,M,25,15,55902,scientist
535,M,35,6,95370,doctor/health care
536,M,25,20,01267,writer
537,M,45,14,07704,sales/marketing
538,M,56,16,95407,self-employed
539,M,25,2,55103,artist
540,M,18,1,15213,academic/educator
541,F,18,4,5849574,college/grad student
542,M,18,4,78705,college/grad student
543,M,25,5,55057,customer service
544,M,35,12,94538,programmer
545,M,35,17,01890,technician/engineer
546,F,25,0,37211,other or not specified
547,M,35,12,76109,programmer
548,F,35,16,96860,self-employed
549,M,25,6,53217,doctor/health care
550,M,45,8,21559,farmer
551,M,35,20,55116,writer
552,M,50,18,23456,tradesman/craftsman
553,M,25,2,94131,artist
554,M,25,12,94086,programmer
555,M,18,4,53213,college/grad student
556,F,25,9,37221,homemaker
557,M,56,1,30030,academic/educator
558,M,35,20,55108,writer
559,F,25,7,60422,executive/managerial
560,M,45,15,81335,scientist
561,F,18,14,64060,sales/marketing
562,M,35,20,48083,writer
563,M,25,4,53703,college/grad student
564,M,45,1,49419,academic/educator
565,M,25,16,45242,self-employed
566,M,25,17,92122,technician/engineer
567,M,35,20,52570-9634,writer
568,F,50,17,19716,technician/engineer
569,F,18,4,97339,college/grad student
570,M,25,4,33314,college/grad student
571,M,50,5,95401,customer service
572,M,18,4,61801,college/grad student
573,F,35,2,98119,artist
574,M,25,19,90214,unemployed
575,M,25,12,92130,programmer
576,F,45,15,20910,scientist
577,M,35,0,02115,other or not specified
578,M,18,17,90064,technician/engineer
579,M,25,5,32839,customer service
580,M,1,10,08534,K-12 student
581,M,50,14,73543,sales/marketing
582,M,18,4,67042,college/grad student
583,F,25,0,48067,other or not specified
584,F,25,0,94403,other or not specified
585,M,18,1,53703,academic/educator
586,M,35,14,53092,sales/marketing
587,M,25,20,92649,writer
588,F,25,11,23220,lawyer
589,M,18,2,90210,artist
590,F,35,6,98032,doctor/health care
591,M,25,0,76201,other or not specified
592,M,18,0,92103,other or not specified
593,F,50,1,91711,academic/educator
594,F,56,13,60076,retired
595,M,25,7,10019,executive/managerial
596,F,25,1,01950,academic/educator
597,M,35,12,80206,programmer
598,M,35,7,95476,executive/managerial
599,M,50,6,53711,doctor/health care
600,M,35,17,66209,technician/engineer
601,F,18,20,06320,writer
602,F,56,6,14612,doctor/health care
603,F,25,6,32256,doctor/health care
604,M,45,17,32256,technician/engineer
605,F,18,4,44425,college/grad student
606,F,1,10,49507,K-12 student
607,M,25,0,43614,other or not specified
608,M,18,4,18011,college/grad student
609,M,25,7,10012,executive/managerial
610,M,25,4,77025,college/grad student
611,M,35,0,20715,other or not specified
612,M,50,7,95020,executive/managerial
613,M,35,20,10562,writer
614,M,35,1,90024,academic/educator
615,M,50,17,32951,technician/engineer
616,M,25,7,94115,executive/managerial
617,F,25,7,92117,executive/managerial
618,M,25,0,74105,other or not specified
619,F,18,1,94706,academic/educator
620,M,18,0,13210,other or not specified
621,M,18,4,93560,college/grad student
622,M,25,0,92612,other or not specified
623,M,25,17,60555,technician/engineer
624,M,25,1,75207,academic/educator
625,F,35,12,44106,programmer
626,M,18,4,77005,college/grad student
627,M,50,2,97210,artist
628,F,35,0,20715,other or not specified
629,F,1,10,48154,K-12 student
630,F,35,14,80525,sales/marketing
631,M,35,17,28601,technician/engineer
632,M,45,17,07649,technician/engineer
633,M,25,17,94131,technician/engineer
634,F,1,10,49512,K-12 student
635,M,56,17,33785,technician/engineer
636,M,18,20,92055,writer
637,M,35,12,97132,programmer
638,M,25,6,77584,doctor/health care
639,M,45,17,85202,technician/engineer
640,M,18,4,47406,college/grad student
641,F,35,0,55116,other or not specified
642,F,35,1,78155,academic/educator
643,M,25,2,23188,artist
644,M,25,20,93704,writer
645,M,35,20,11215,writer
646,M,35,7,08505,executive/managerial
647,M,35,12,85224,programmer
648,F,25,12,94131,programmer
649,M,25,4,80526,college/grad student
650,M,25,17,49445,technician/engineer
651,M,35,7,20895,executive/managerial
652,M,18,20,12222,writer
653,M,56,13,92660,retired
654,M,50,7,75023,executive/managerial
655,F,25,2,92629,artist
656,F,45,16,92106,self-employed
657,F,50,13,34691,retired
658,F,25,0,10021,other or not specified
659,F,25,0,28134,other or not specified
660,M,45,16,70507,self-employed
661,M,45,1,13114,academic/educator
662,M,18,4,99163,college/grad student
663,F,25,7,12345,executive/managerial
664,M,35,18,74601,tradesman/craftsman
665,M,18,2,13317,artist
666,F,18,0,08540,other or not specified
667,M,25,18,98438,tradesman/craftsman
668,F,25,3,22042,clerical/admin
669,M,25,17,30307,technician/engineer
670,M,25,12,30303,programmer
671,M,18,4,61761,college/grad student
672,M,35,7,46845,executive/managerial
673,M,25,20,10023,writer
674,M,25,17,22042,technician/engineer
675,M,25,20,02048,writer
676,M,18,16,55129,self-employed
677,M,50,2,94122,artist
678,M,25,0,34952,other or not specified
679,M,35,16,29681,self-employed
680,M,25,12,37013,programmer
681,M,35,7,30501,executive/managerial
682,M,25,4,27510,college/grad student
683,M,25,4,27514,college/grad student
684,M,25,4,27510,college/grad student
685,M,25,4,27514,college/grad student
686,M,18,4,27514,college/grad student
687,F,25,7,14136,executive/managerial
688,M,56,13,13407,retired
689,F,50,0,48103,other or not specified
690,M,25,12,90717,programmer
691,M,35,11,96813,lawyer
692,F,25,0,85207,other or not specified
693,M,35,12,98103,programmer
694,M,18,4,76401,college/grad student
695,F,18,1,04240,academic/educator
696,M,25,12,94114,programmer
697,F,50,6,97330,doctor/health care
698,M,18,4,76401,college/grad student
699,M,18,0,73505,other or not specified
700,M,50,17,14650,technician/engineer
701,F,18,4,01002,college/grad student
702,M,35,7,90808,executive/managerial
703,F,56,1,44074,academic/educator
704,F,35,8,85712,farmer
705,M,25,4,48065,college/grad student
706,M,35,20,78664,writer
707,M,35,7,17740,executive/managerial
708,M,25,0,37042,other or not specified
709,M,18,0,92647,other or not specified
710,M,25,20,85207,writer
711,M,25,18,80521,tradesman/craftsman
712,M,25,0,95136,other or not specified
713,M,35,7,79912,executive/managerial
714,M,18,4,76013,college/grad student
715,M,18,0,53715,other or not specified
716,M,18,4,98188,college/grad student
717,M,25,11,90211,lawyer
718,M,18,2,90211,artist
719,M,1,0,75070,other or not specified
720,M,18,0,55129,other or not specified
721,F,35,9,97520,homemaker
722,M,25,12,55106,programmer
723,M,25,12,98027,programmer
724,M,50,13,90266,retired
725,M,56,11,08904,lawyer
726,F,25,9,77449,homemaker
727,M,35,11,94061,lawyer
728,M,25,6,11598,doctor/health care
729,M,35,12,85284,programmer
730,M,25,0,10580,other or not specified
731,M,45,3,55410,clerical/admin
732,M,25,7,07030,executive/managerial
733,M,35,16,30034,self-employed
734,M,25,7,90078,executive/managerial
735,M,25,14,04240,sales/marketing
736,M,18,12,07070,programmer
737,M,1,19,53711,unemployed
738,M,18,17,99205,technician/engineer
739,M,35,12,55803,programmer
740,M,25,14,24551,sales/marketing
741,M,25,5,44095,customer service
742,M,18,0,54758,other or not specified
743,F,1,2,60660,artist
744,M,25,17,77007,technician/engineer
745,M,1,10,90004,K-12 student
746,F,18,19,95019,unemployed
747,M,18,4,98606,college/grad student
748,M,25,0,60098,other or not specified
749,M,35,18,56303,tradesman/craftsman
750,F,35,9,13066,homemaker
751,F,25,17,97201,technician/engineer
752,F,25,3,97401,clerical/admin
753,M,1,10,42754,K-12 student
754,M,35,7,38024,executive/managerial
755,F,35,0,94002,other or not specified
756,M,35,0,90064,other or not specified
757,M,25,12,97401,programmer
758,M,35,7,19518,executive/managerial
759,F,56,3,89156,clerical/admin
760,M,56,15,94114,scientist
761,M,18,7,99945,executive/managerial
762,M,1,10,63041,K-12 student
763,M,18,10,02882,K-12 student
764,M,18,20,85296,writer
765,M,25,17,74467,technician/engineer
766,F,25,7,95128,executive/managerial
767,M,25,12,45241,programmer
768,M,25,12,17067,programmer
769,M,45,17,02421,technician/engineer
770,M,18,4,98499,college/grad student
771,F,50,1,75087,academic/educator
772,M,18,12,89118,programmer
773,M,25,6,48108,doctor/health care
774,M,18,4,22903,college/grad student
775,M,1,17,56258,technician/engineer
776,F,25,3,92627,clerical/admin
777,M,18,19,87543,unemployed
778,M,18,17,32694,technician/engineer
779,M,25,0,60156,other or not specified
780,M,25,17,91776,technician/engineer
781,M,18,4,95076,college/grad student
782,M,56,1,28223,academic/educator
783,M,25,4,53703,college/grad student
784,M,18,0,11040,other or not specified
785,M,18,19,29307,unemployed
786,M,25,0,55987,other or not specified
787,M,18,4,77802,college/grad student
788,M,25,0,37601,other or not specified
789,M,18,1,67212,academic/educator
790,M,25,17,45694,technician/engineer
791,M,35,7,27511,executive/managerial
792,M,25,17,01002,technician/engineer
793,F,35,14,37043,sales/marketing
794,M,50,20,10543,writer
795,F,35,14,19147,sales/marketing
796,M,50,6,98237,doctor/health care
797,F,50,7,20175,executive/managerial
798,F,25,20,48464,writer
799,F,25,5,98498,customer service
800,F,35,12,72032,programmer
801,F,25,20,95776,writer
802,M,25,16,22801,self-employed
803,M,18,4,67217,college/grad student
804,M,25,20,90032,writer
805,M,35,12,37211,programmer
806,M,35,0,34990,other or not specified
807,M,18,4,89015,college/grad student
808,M,25,7,85226,executive/managerial
809,M,25,17,70508,technician/engineer
810,M,25,12,98006,programmer
811,M,50,0,94043,other or not specified
812,M,25,6,37930,doctor/health care
813,M,18,4,70002,college/grad student
814,F,18,4,92612,college/grad student
815,M,25,4,37130,college/grad student
816,M,45,0,92108,other or not specified
817,M,18,4,41076,college/grad student
818,M,18,4,60107,college/grad student
819,M,35,7,60611,executive/managerial
820,M,35,7,78759,executive/managerial
821,M,18,2,14456,artist
822,F,25,1,07666,academic/educator
823,M,25,0,92078,other or not specified
824,M,35,12,94530,programmer
825,M,56,1,39532,academic/educator
826,F,35,1,80210,academic/educator
827,M,45,2,55409,artist
828,M,18,4,70817,college/grad student
829,M,1,19,53711,unemployed
830,M,35,7,60657,executive/managerial
831,F,45,0,20874,other or not specified
832,M,18,2,19464,artist
833,M,35,7,46825,executive/managerial
834,F,35,12,78640,programmer
835,M,56,0,94952,other or not specified
